nombre_departamento,nombre_provincia,Cabecera,Municipios,poblacion_2010
Departamento San Antonio,Jujuy,San Antonio,"",4466
Departamento Capital,Catamarca,San Fernando del Valle de Catamarca,1,159703
Partido de San Nicolás,Buenos Aires,San Nicolás de los Arroyos,-,145857
Partido de San Vicente,Buenos Aires,San Vicente,-,59478
Partido de Exaltación de la Cruz,Buenos Aires,Capilla del Señor,-,29805
Departamento Cerrillos,Salta,"","",35789
Departamento Maipú,Mendoza,Maipú,12 distritos,172861
Departamento San Cosme,Corrientes,"","",14155
Departamento Río Chico,Tucumán,Aguilares,1 (+5 CR),56847
Departamento Capital,Córdoba,Córdoba,3,1329604
Departamento Lules,Tucumán,Lules,1 (+3 CR),68474
Departamento Valle Viejo,Catamarca,San Isidro,1,27242
Departamento San Javier,Misiones,"","",20906
Partido de Capitán Sarmiento,Buenos Aires,Capitán Sarmiento,-,14494
Departamento Pocito,San Juan,Aberastain,-,53162
Departamento Capital,Corrientes,"","",356314
Partido de Marcos Paz,Buenos Aires,Marcos Paz,-,54181
Departamento Palpalá,Jujuy,Palpalá,"",52631
Departamento San Martín,San Juan,San Martín,-,11115
Departamento Famaillá,Tucumán,Famaillá,1,34542
Partido de Tigre,Buenos Aires,Tigre,-,376381
